id;item_name;po_number;category;client;order_date;requested_end_of_prod_date;country_of_origin;country_of_final_destination;consignee;carriage_by;terms_of_delivery;terms_of_payment;currency;remarks;kingdee_id;port_of_discharge;port_of_loading;doc_status
1;Archibald East Androgyne;Southeast invoice;orchestration;withdrawal accusantium Barium;Investor background;Internal Electric;productize;Hybrid;Facilitator Licensed edge;Account Personal linear;Director Exclusive Refined;Gutmann;Producer female;networks chrysalis;payment transmit Plastic;with wave;Bacon intranet override;Avon frightfully Soft
2;West Kwacha;Astatine;East withdrawal connect;Flat morph;Response Philippines;withdrawal Minnesota interface;Nebraska solid Lanka;Licensed plum;green male;Refined;than IP;male Northeast;schnitzel Northeast ivory;Azerbaijan;primary North;Recycled Southeast;Strategist and Gasoline;Bicycle
3;Road Grand;Pizza feud;imperfect Soap;Southeast;overriding;Non accusantium;Product Northwest Chrysler;South Road Forward;Non Multigender wireless;man frantically provided;Tajikistan;hack;Shirt quas;Buckinghamshire Saint deposit;Cis;parsing Synergized index;Web challenge;wireless
4;Configurable;Gasoline vertical Sleek;Concrete;Director traipse;purple;pascal Technician Card;unaware;apprehensive payment;Northeast program;Samarium;beatae;Cheese;Metrics restfully;Germany North strictly;model;obediently microchip invoice;Rand;Internal workforce
5;capacity;Electronics Blues;soluta;South;Assurance;Northwest duh;male Northwest;middleware Franc male;Metrics indexing HDD;Northeast;purple Franc;optimal Plutonium;soon;invoice ah ampere;Southeast Optional Rubber;Hybrid;River application;compressing Jazz hover
6;mid;vertical ivory;Country;East;Iowa Optional Bike;TLS long;HDD;Hane;Data Product Decatur;Bicycle synergy sensor;female partnerships;Cis Outdoors;payment;Northeast;Loan;Tools North;blue grounded;male back
7;Pacocha silver ouch;matrix quantify Vatu;poorly;if;primary Riverview;violet Hatchback SQL;encryption;Villages Intersex Southwest;Southeast amidst regional;Auto furthermore;watt ADP;Strategist East virtual;deliverables Gasoline Northwest;thankfully payment;Bicycle frame East;Mini;teal Palm;Genderqueer along eyeballs
8;far Diesel;Madison mmm syndicate;man Salad;Cargo;Dysprosium Extended Rubber;optical reintermediate;down;Tesla Tunisian;Southwest hacking Protactinium;bravely Sheqel West;Rustic comprehend Games;Stark ha blue;similique Brand virtual;withdrawal state Electronic;Ridges Principal Cambridgeshire;Games North Downey;bypass Human female;trout
9;Chair synergistic connect;Kia;violet Mouse XSS;dynamic volt;salmon Principal;synthesize Loan;Bicycle vortals;Seamless engage Hybrid;back;copy jumpy;Account Account;next;engineer Computer;Soft vice mole;invoice that;Bicycle;certainly initiatives West;Account Idaho architecto
10;East mobile;payment IP pixel;Borders morph Enhanced;firmware Account;Protactinium;Celsius Borders;optio cheery Tactics;synthesizing;Northeast kookily Berkshire;Concrete;Buckinghamshire;Principal Keyboard;Soft transmitting newton;Bicycle Shoes why;portals;Northeast Bugatti implementation;enhance engage Account;mobilise
