id;item_name;cate_gory;supplier;date;supplier_status;evaluation_status;business_liability_bope_score;comments
1;1080p orchestration Sulfur;Hatchback Thailand;Implementation;2023-06-20;Anaheim;holistic;Northeast Honduras;veniam
2;Engineer;capacitor;ivory;2023-06-20;crossly;female Luxurious;Executive Pike Bicycle;Home Northwest Southeast
3;Handcrafted;SAS Southeast;necessitatibus;2023-06-20;Frozen firewall;ROI as hammer;Southeast;nit Diesel whoa
4;Program;Concord;approach Northeast;2023-06-20;yum;mobile Northwest vegetarianism;Usability;wireless
5;pish Hip;exploit;silver Modern;2023-06-20;hacking Electronic;copy given;reboot like;azure Bike Officer
6;badly payment Bentley;Dinar now West;Rock 24/365 Consultant;2023-06-20;Scandium considering Diesel;certificate payment Fish;female male sievert;Southwest female Security
7;Direct Toyota female;Erdman Developer;too Networked hard;2023-06-20;Electric Chips;female Aruba Technician;lively Mexican;Central
8;Soap project deposit;merchant Southwest TLS;Christina;2023-06-20;Agent;Connecticut Trial Sipes;generously salmon Dodge;tan suscipit consectetur
9;Bedfordshire;Trans;Lead Latin polished;2023-06-20;mint;Pizza;Towels discrete VGA;Electric Electronic hairy
10;Northwest;turret ack Designer;purple Molybdenum politely;2023-06-20;Cedi Hybrid;Ergonomic;virtual without;Loan Baltimore Lev
