id;item_name;kingdee_id;customer;order_date;forwarder;total_qty;loading_port;discharge_port;container_type;container_size;container_number;supplier;supplier_email;eta;etd;transport_mode;number_of_cartons;number_of_ref;total_volume;total_weight;remark;client;kingdee_unique_id
1;Jazz birdcage platforms;likewise override silver;Bicycle past;Southeast Honda magenta;Movies;athwart Rap Northeast;Synchronised Mini;Luxurious Hat Shoes;system;Account like;the Executive orange;Robust tesla Nepal;synthesizing Home Chevrolet;Cyprus International;Bicycle so;purple;West Zimbabwe wireless;Supervisor parsing Buckinghamshire;platforms lavender whoa;Licensed Small Wilson;Cambridgeshire Massachusetts far;Southwest San Tala;up Southeast
2;mobile deposit Checking;atop female;more Shilling;array Non HEX;Electric;Southeast;Wauwatosa North;blue hedge panel;Planner software;New Stage;Northeast;hard;Account Kids Sports;ick;Northwest;program;Downey;JSON;indexing;neutral per Loan;Planner initiatives;IP calculate Southeast;Funk invoice Chief
3;Home instantly;gracious Grenada Bedfordshire;eek Lari;muss;empowering;when fuchsia;Cordova Fish;absent;South;indexing California Research;toolset;Europium;Sausages program;BMW;red;World;extend Practical Producer;what Monaco;Ohio over attitude;since weakly overtake;although;afore until and;deliverables West
4;Azerbaijanian;iterate;male;Volkswagen Ferrari Maserati;DNS Tools;payment systematic silver;Magnesium back;unsightly;Hybrid orchid Future;Extended Tasty er;plum Interactions Borders;Elegant siemens OCR;Dominican Baby;transmitter Bacon Rap;digital;Coupe;Granite;dearly drown as;Refined monitor system;woot Northwest Bedfordshire;feed HDD;City Coordinator compress;Passage incommode Chicopee
5;definition poetry THX;function female;Azerbaijan own;North green;Senior;Northeast revolutionize indigo;Books;ugh Planner yet;Principal;Wayne Kalamazoo till;methodologies ick;Tasty calculate Argon;Hatchback orchid silver;COM male;heuristic;aggregate moth ability;withdrawal Keyboard ampere;adoption;Fermium;Harrisonburg up;South;Incredible graduate;SUV
6;Fitness sticky;Hybrid compelling;orange Rap;deposit Southwest;recapitulate;Music lavender Group;Bicycle;reciprocal;Throughway;Smitham;withdrawal benchmark;application Berkshire Convertible;Integration Montserrat Hybrid;Tools Bedfordshire;Ergonomic;Incredible;Chair Industrial;disarm infrastructures primary;male;North Northwest;viral Funk Refined;Quincy;awesome off
7;SSL yippee;East B2B;perferendis pink Oregon;strategize Trafficway;Electric Sleek scientific;Cruiser Intranet Bike;notwithstanding Berkshire Wagon;arrogate prostrate;mobile Computer;nor Dollar;override projection Manager;Human SCSI;Chicken Distributed;Cambridgeshire Legacy;lime Tandem gosh;matrix Puerto;synthesize PNG nisi;deploy;Wooden;Borders;Southwest Electric Southwest;lest Borders;Southeast
8;Neon National turquoise;Dollar;Tanzanian Congo Southwest;exalt Bronze Luxurious;Soft;Road product;North;Strategist GB;monetize Soul;Bicycle;Classical;Forward rem;Gasoline;Wisconsin interface;Buena compressing Female;Bicycle Northeast Country;Awesome drive;index Customer before;Sausages input;Hermaphrodite indigo;person disintermediate Northeast;Pants Hybrid;Male Officer reintermediate
9;Buckinghamshire Account;duh;Squares Investor eaque;networks;logistical Northwest connect;navigate AGP;Classical Latin or;South Buckinghamshire Bespoke;facilitate Gasoline Northeast;Berkshire Gloves;Rolls;Xenon;overriding Technician optimize;Small the aliquid;West East outgoing;Security;Berkshire Parks;robust;International South;Fords plum;auxiliary Von;Steel exuding;International Health refinance
10;Alameda yowza;green;Engineer;Fitness unwieldy;Drives Granite sublet;Elegant lime Pop;array so;Cotton architecture;motorboat;Electric;Throughway;inasmuch Colon;pish;consign Soap Producer;reboot Investor;South payment henry;Denmark degree aw;now;Executive Engineer;circa;orchid;synergistic boom Bedfordshire;fickle
