id;item_name;quotation_date;inquiry_doc_number;doc_no;doc_status;supplier;kingdee_id
1;Troy justly Pop;Lamborghini Operations quam;connect;whenever hack how;intranet THX madly;conclude Nuevo Quality;Northwest
2;Guatemala sensor in;Passenger bypassing Southwest;consist parse;holistic orange protocol;array pro Refined;synthesizing;haptic
3;withdrawal only Silicon;provided esteemed what;Views Congo;Danbury Stella;cyan;tan Belize green;Northeast Marjory
4;Gasoline Renminbi;sheet overriding;Branding East South;Antwan quantifying;Diesel Madagascar Account;copy;connect Shoal
5;turquoise hierarchy;Hybrid Fitness;violet;orchid F2M;Synchronised;Northwest online for;Transgender Berkshire Southeast
6;ramble;California if Hafnium;hm Agent;male;withdrawal;Gorgeous Florida;Volvo
7;withdrawal Program;Woman overconfidently withdrawal;delectable Metal;PNG;invoice;Lithuania;Malta index
8;DRAM;Program;neutral Cotton disinvest;Curium Alpharetta violet;Recumbent aggregate Neutrois;Waldorf SDD Northeast;circuit Bauch
9;Sparks;Beauty;Mauritius;FTM;Mauritius staff;mushy Caterina;Latin bypassing
10;yellow from;South Liaison;Regional;Copper reciprocal solid;up;South Modern;South Usability snowboarding
