id;item_name;cate_gory;supplier;operation_site;link_supplier_factory;type_of_site;auditing_tool;auditing_date;csr_result;quality_production_result;business_liability_result;comments;issue_date;due_date;closed_date;closed;status;cap_comments
1;Cotton Unbranded;generous;radical azure Bicycle;input Wintheiser Plastic;Mobility Bronze;Cisgender farad Southwest;Funk hertz Customer;2023-06-20;Buckinghamshire Kentucky;Cisgender synergize;ohm unimportant twin;Tuna;2023-06-20;2023-06-20;2023-06-20;Unbranded;RAM minus to;blue
2;Africa female;wise Compatible;defect AGP partnerships;Jewelery Hermaphrodite Administrator;infomediaries;Developer;generation;2023-06-20;Czech;Awesome Brand;Electronics Guyana female;leaver Berkshire green;2023-06-20;2023-06-20;2023-06-20;communities North;Bicycle Sleek;Expanded boastfully
3;Clothing Avon Fresh;evenly synthesizing;virtual Northwest unlike;Central Bicycle;Tennessine South Cab;Handcrafted;Bedfordshire;2023-06-20;And payment;withdrawal;male Home;system grandiose violet;2023-06-20;2023-06-20;2023-06-21;Factors Bedfordshire Fantastic;multimedia North;weber Wagon
4;Cambridgeshire Intersex;though Angeline;Van Compatible Rocklin;Gasoline Frozen;niches once scarcely;quasi Chair;Northwest Shoes;2023-06-20;where Beauty copying;Baby East card;Chicken solidly;Connecticut;2023-06-20;2023-06-21;2023-06-20;aw;Fish;Hat chronicle
5;Fresh Republic;Texas Jamahiriya Cyclocross;amongst;Consultant;white generating;West Chief;black Handcrafted;2023-06-20;ack raw Solutions;failing Salad;coil Lead;Gasoline;2023-06-20;2023-06-20;2023-06-20;Diesel;CLI snore;kilogram male
6;PNG Tanzania integrated;whether;Rupiah and Assistant;Novato Universal Rocklin;Liaison tertiary Consultant;besides Electric Diesel;Interactions bypass program;2023-06-20;hence Baby;meter;mobile Jewelery;aggregate Falls;2023-06-20;2023-06-20;2023-06-20;Cargo;Oxygen Granite;till Supervisor huzzah
7;Steel Recycled;Non;payment;Tesla generating vero;Principal pink Granite;Lauderhill navigate Brand;COM synthesize;2023-06-20;male pish;SUV;sky;Convertible;2023-06-20;2023-06-20;2023-06-20;distributed outside;auxiliary Generic;Folding
8;Agender North impressionable;array;Congo;Research state;Bike;primary 6th Cadillac;Salad Berkshire Berkshire;2023-06-20;Wooden line;North lavender;Diesel Cab Forward;Audi Tellurium;2023-06-20;2023-06-20;2023-06-20;Guilder Frozen tempora;Northeast Dodge Wisconsin;Cotton
9;Carolina card;AI;withdrawal Pangender Identity;Land Sedan;indigo;supportive PNG;laboriosam;2023-06-20;North Direct dragoon;drive man;Regional Tuna scale;panel Nevada;2023-06-20;2023-06-20;2023-06-20;Azerbaijan indigo;Integration volt Francium;Awesome Bicycle
10;zero;Minivan;online Southeast;Belgium Ford Lewisville;um hence;hic Gasoline;apropos;2023-06-20;communities quantify Nissan;silver to considering;Handcrafted;Luxurious North;2023-06-20;2023-06-21;2023-06-20;violet fallacy;Rustic Fantastic;Loan
