id;item_name;link_supplier_factory;type_of_site;contact;site_address;cate_gory;country;kingdee_id;business_license;sas_date;iso_900_valid_util;iso_14001_valid_util;attribute_lor;site_qualification;qualification_score;pqv_score;pqv_date;pqv_decision;technical_audit_date;technical_audit_score;third_rd_party_date;third_rd_party_score;bope_date;bope_score;cap_required
1;Woodbury;West Digitized South;Reunion Hatchback;meter Wooden;Kendall Rolls;auxiliary input North;Central African Republic;5th Adventure;Crew;2023-06-21;2023-06-20;2023-06-20;Guinea Southeast;users Account;Account Global Market;functionalities project backing;Virgin Buckinghamshire;yippee Generic Nebraska;Table Concrete base;North Diesel;Tasty Korean Chair;markets AI;DRAM;calculating Mexico;Man Florida
2;kelvin;responsive;exercitationem virtual;violet zowie;truly bypass lavender;Americium;American Samoa;gray payment Northwest;Hartford;2023-06-20;2023-06-20;2023-06-20;rap huzzah yellow;hoof South;Pants;Configuration sievert mid;violet;solution;Frozen Savings Cambridgeshire;extend;unless Jeep Turkish;Woman Computer generating;Secured whose;questionably Chief;Credit fondly Southwest
3;usefully Metal;Israeli Car;Southwest;Diesel;kilogram redundant Account;Account;Djibouti;tromp Volvo Wagon;Supervisor plum;2023-06-20;2023-06-20;2023-06-20;Principal Kulas Mandatory;overriding Assistant Cheese;array Car;Sports evolve Computers;B2C beloved abstract;red Tricycle Forward;migration;Island Account invoice;SAS Maserati even;chubby nor Awesome;Communications black Avenue;archive;Northeast Bentley Northeast
4;hacking heuristic;Rhodium Delaware;iure;cupiditate;East ROI;Kuwait;Mayotte;Distributed Chair;circuit Communications;2023-06-20;2023-06-20;2023-06-20;whose;Brand intrigue solution;navigating;scale Cab Gasoline;Accountability Convertible feed;fancy UTF8;Diesel;Mexican Berkshire deposit;Venezuela Centro turquoise;GB Chevrolet copy;background;processor;Ball
5;yellow;MTF;merchant;bypass Lead;Soft temper;Dominican bravely;Andorra;whoa person;sexy;2023-06-20;2023-06-21;2023-06-20;Transexual overstate;asynchronous auxiliary;Trigender Engineer;Litas Electric;whereas Borders female;Electronic;interfaces Ball transmitting;Senior;beach Soft;Tools Account Senior;Einsteinium;Toyota Luxurious overriding;online up
6;Chair Accounts Verde;input Krypton;bawl Soft tightly;West;Sedan often;in South female;Singapore;SSD;Northwest;2023-06-20;2023-06-20;2023-06-20;International Wooden;Forward;female deliverables Market;Unbranded greedily gadzooks;Cyclocross up while;Industrial palpitate;Accountability tomography;joule;seamless input fox;exploit ew Frozen;Hat protocol;South Actinium;card
7;Tricycle Metal;vex Wooden Minivan;Folk;hertz;male;vortals;Jordan;Rupee Engineer Account;24/7 Group sympathetically;2023-06-20;2023-06-20;2023-06-20;Home;synthesize;bandwidth;male Fundamental;Washington ivory generating;tan;by reap;lime Concrete Soul;hack Keyboard vice;Director defenseless;owlishly;Electric Unbranded;Automotive
8;fuchsia steradian;Turlock;Gulfport system;VGA invoice;eek Administrator indigo;always Granite;Belgium;Borders;Electric;2023-06-20;2023-06-20;2023-06-20;benchmark interface syndicate;SUV Intelligent;Volvo Bacon maroon;capacitor sexy VGA;visualize male;Applications;Shoes;New;applications;via;orange Account Latvian;Wyoming;Gasoline
9;Alhambra New;Rupee Markets;around Adventure;Shoes Lawrence boldly;hacking;Hybrid coulomb;Mauritius;Bespoke Soap Pembroke;back for;2023-06-20;2023-06-20;2023-06-21;technologies;Account port;to optical methodologies;deport firewall;Refined Practical;pfft Rubber Engineer;Bedfordshire exercitationem UTF8;collectivisation Rhode Fort;Auer Administrator;red Cuban Copper;along Hyundai;Borders Account;application Kling
10;Director pink;Borders blue;Ball;Southwest;invoice Agender;Wagon;Iraq;invoice transmitting;Dodge policy Concrete;2023-06-20;2023-06-20;2023-06-20;XML SDD Bicycle;Bicycle migration Electronic;Bicycle transmitter;Cheese;redundant markets separately;approach grateful;Bicycle VGA;Trans psst;6th meh after;Cheese doloribus;dolorum woot;deposit Malinda female;Vista Kwacha Hip
