id;item_name;kingdee_id;customer;order_date;loading_port;discharge_port;transport_mode;incoterm;forwarder;eta;etd;container_type;container_size;remark;kingdee_unique_id;doc_status;cate_gory
1;Toys female;Pants SMTP wifi;before;Hybrid antling Engineer;Points reboot;digital Gasoline;withdrawal;Bacon Passenger West;Regional;instead payment Executive;North;Diesel;Indiana heuristic Investment;East becquerel calculate;fellate;Product hertz;Rustic Jeffersonville
2;Branding Oxygen;Fantastic iusto Cisgender;Interactions East;invoice;Senior;Bicycle;payment South radical;JSON Regional;Dynamic;corrupti AI;Investment;Satterfield Springs Strategist;weber Passenger;jovially Bronze;Table Country East;content connecting generation;Pickup
3;harness;override;South gorgeous aha;methodologies Polestar;Northwest leading voluptas;Jewelery COM Vermont;initiatives;repurpose West;Illinois Garden discrete;Northeast;Alaska anenst withdrawal;Carolina;Accountability Toyota female;West divorce;red Dynamic Shilling;purple Investment Technician;Account
4;synthesize siemens Zirconium;Northeast Gasoline;withdrawal or;wireless instead;acidly driver abandoned;primary;Fresh plum Metal;Hop Mexican;Pizza;Phosphorus Transexual workforce;Classical Mazda;navigating;match Roentgenium Forward;quantify;Sausages;within;taxi lime
5;Shoes;tan spool;boldly;compress ferociously Directives;admonish;parsing Sausages;Luxurious Kia;male harness Handcrafted;Bicycle purple;Vanuatu Functionality;silver whiteboard bypass;Supervisor;azure mint;online Hawaii Avenue;Astatine;deposit Industrial;eos
6;Hybrid engineer lavender;Credit;Bicycle supposing;sty;grouch;quam innovative synthesizing;Distributed Hybrid;Russian;oh SUV;mesh;mole Rustic;Intersex East shrilly;Nissan Northwest Handmade;program;Bangladesh Account;Vanuatu Loan;male Lead synthesizing
7;purple;vero bypassing;olive whenever;compress;Cambridgeshire Tasty circa;superficial;Reggae indexing;poultry Bicycle;Identity;Rap Regional to;which Polestar;Exclusive Keeley Market;subconscious transmitting Cambridgeshire;Pound;Nepal;Tasty;red integrate
8;Ergonomic Pop firewall;parse Republic;Plastic red;female Tasty;Kroon;users;giddy Analyst;Buena across;parse;male;Female matrix mole;sequi parsing;Security;hertz moratorium;bus National;Outdoors;ivory or tan
9;disintermediate;punishment Non;Southwest program beneath;Sandy;tan calculating RAM;reinvent;numeric navigating South;Florida Strategist Versatile;stopwatch calculating;Bedfordshire Consultant watt;Southwest divest East;starchy East;Bicycle card;before;array Fish;Plastic;Missouri invoice
10;invoice Niue;Gasoline to;male;female;Wyoming San Transexual;Alabama phony;expedite Integration Clothing;Turkey back Berkshire;Smart male;incidunt;Wagon;online Account gold;sheepishly;black Manganese;Southwest;back pixel likewise;Soul Mouse Money
