id;item_id;item_name;board_id;sub_items;kingdee_id;customer_name;customer_code;customer_frence_name;comment
1;Islands Von stable;factory female Account;facilis Electronic Hyundai;tremendously maroon not;Bike;Pickup tender Engineer;Hat Oregon;Licensed Account;Sedan
2;leek Pataca;male;Account facilis Tuscaloosa;woot Touring;Northeast hacking quod;Waters Security Buckinghamshire;explicabo Tools;fuchsia Colorado;after Metal
3;matrix AGP;Sedan West;Luxurious primary Northwest;Krypton North;Bicycle Southwest;Group;azure blue;interactive;BMX Loan
4;Chair Northeast;Non;East;Books;Pizza;unaccountably copying;Kia Soft;asperiores;Consultant Diesel
5;Chicken stealthily;aha;Cuban;Soul;Latin Manat;Southwest Agent deflect;users;scratchy repellat;grey calculating once
6;Southwest;Balanced;Keys West;Usability Human;invoice;orchid wireless sharp;Account;Southeast SUV offensively;Rustic City
7;Salad;male;Borders azure;pink Industrial gadzooks;Data;Jewelery Representative powerfully;Small illo;capability Cotton;Reactive
8;Regional;Salad;Sports er sans;Missouri Gasoline;transmitting indigo across;Southeast;convergence Northwest tedious;Unbranded across Bicycle;overriding Azerbaijan
9;Games;Sedan connect;Soap;indexing aha;yowza exhilarate Movies;pilfer;second;Bicycle Intersex;indigo application
10;Bridge Ramp;Cambridgeshire;withdrawal;Associate monitor;though Developer Product;placeat;Kertzmann East radian;Marketing Intersex;networks Data
