id;item_name;kingdee_id;supplier;supplier_email;order_date;cate_gory;remark;material_receipt_date;doc_status;supplier_name
1;Bermuda deliverables black;Camden;Loan South Diesel;honestly lest;International UDP Triathlon/Time;Buckinghamshire;yum;forecast Account;COM Chair;female Bugatti
2;female;Burgs teal Sports;North;Europium;solid Touring coarse;Sausages;Electronic reparation;gold;Northeast qua;where
3;Frida Soap coherent;Paterson female;Northwest;BMW Cotton;generating mole woot;Southwest Silicon;EXE virtual integrated;huge SUV;Liaison card;deposit geez Kulas
4;except sievert;Car Transgender;silky users yowza;glacier Movies;violet Southwest;doloremque;Harbor;gold;transmitting;Universal Investment Soft
5;velit override synthesizing;becquerel indeed;Elgin;Hybrid;East generating;teal;Klocko Handcrafted Program;Sacramento capacity Syrian;Markets South Serbia;vivacious Southeast override
6;female;Helium Roentgenium strategy;Forward Unbranded;Electronics;Washington impeach silently;Cyclocross;Electric Southeast;steradian East;South;near Small meager
7;Product Southeast;Aluminium syndicate;Texas Tools Towels;noisily Fluorine Liaison;Gasoline Xenogender iure;black cyan;deliver;Lead female;Dynamic Draper Borders;diligently
8;Supervisor EXE;Metal Modern;Cummings over;provident Jaguar;Gasoline Touring;Tasty East;software;Volvo Secured;Courts Blues Sleek;next banner
9;Metal;Dodge ick deposit;Berkshire;West green;Wisconsin;South Dubnium;and;extend protocol elegantly;Bronze withdrawal North;consignment Rubber proselytize
10;Buckinghamshire neatly male;male Ford;global;Cruiser Jewelery;Southeast;HTTP accusantium;Designer Kids debitis;male West legalize;Liechtenstein;Wisconsin
