id;client;category;sub_category;cap_status;supplier_status;qualification_score;bope_score;internal_supplier_id;contact;contact_phone_number;contact_email_address;operation_site;address;website;relation_starting_year;business_license;rex_origin_status;create_date;update_date;item;sub_items;date;kingdee_id;region;supplier_type;remark;french_name
1;system invoice;Recycled Bicycle;quos Rubber;Gasoline;visualize;neural;male gold;Georgia;gray;benchmark Bernhard Talon;Bypass tempore;delectus Berkshire;Southwest Jewelery;quantifying Rustic Synergistic;how female powerfully;Jewelery Card Web;port Car;2023-06-21;2023-06-20;Florine;Bohrium Chips Cab;Extended;Plastic Communications;ROI 1080p male;Checking;bypass National;Northwest
2;Account Bicycle maroon;ha;Liaison deposit;Intranet deposit;sans sit Integration;Fish Trans;monitoring Monica;Compatible;Grand;Iowa parsing ick;Hatchback Small;female Internal Park;South smug;Table Southwest Oak;Fish Chevrolet Nissan;West East Southwest;whoa invoice Tasty;2023-06-20;2023-06-20;female synod;transgender pink rhetoric;dolorem;Moscovium;Berkshire Concrete Bicycle;Southwest Producer;faithful salmon nurture;constitute
3;Bicycle Distributed West;Gasoline input facilitate;Steel;Uzbekistan;humiliating;Movies;whose Gloves;North Hill;Iowa connect;Supervisor East Solutions;Southwest ivory compelling;wireless yet Blues;coulomb blah Customer;West Frozen;Ouguiya;Crew;Transexual;2023-06-20;2023-06-20;at Novato East;Diesel Honda;Roxanne;crackle;Handcrafted;FTM reiciendis;policy ducimus Southeast;Genderflux
4;kilogram Aryanna purple;Legacy Chief;New RSS Kingsport;hence Luxurious Dodge;Lead Licensed Trans;Towels Metal;Bespoke Internal;Pula Polonium Louisiana;Northeast Hoeger invoice;Rap mole;Bicycle National;Producer firewall frosty;beyond Protactinium overriding;Cambridgeshire animated;plum Customer;bus Interactions Recumbent;Fall reinvent Virginia;2023-06-20;2023-06-20;Africa heroine;SSL Porsche;Table Legacy;Officer true;Southeast;Diesel ew Croatia;Rubber Cheese Southwest;incidentally Gasoline
5;Pickup;and Garden creation;whiteboard Soap nor;invoice;Shirt Liaison Diverse;instead Arizona hertz;Hat Benz;while District;SQL;interface Extended RAM;Metrics;coherent spill;harness Senior Smart;Bronze male Modern;Account Security;engage Cotton Salvador;AI Shirt Omnigender;2023-06-20;2023-06-20;Soft Electric Berkelium;nihil Courts;Incredible;overriding perferendis quantifying;West meanwhile Liaison;yellow Southeast;impactful input Avon;Northeast Web
6;Bespoke Curium;Lithuania Wisconsin;quantifying;Americium Southeast generate;optical Licensed;instead;system cyan;Southeast;World;voluptatibus Electronic bah;alarm Steel;Polestar strategic;Frozen shark Oriental;Intersex spice;female portal;Bicycle Southwest;North Cambridgeshire Dinar;2023-06-20;2023-06-20;Chief;Rubber;distributed interface;Assistant deposit Books;East;Kuwait Benz;though Southwest Non;similique 24/7
7;North Metal scar;Accounts Group;Nebraska Folding Soft;Michigan Coupe gratify;Shirt;encryption;haptic Caesium;Pop;Fort;olive West invoice;female;Cambodia repeatedly Small;Dynamic;navigate;Shoes;Account payment;Burleson;2023-06-20;2023-06-20;Laguna Kyat;success;solid sprout Metal;Chair;iterate;male;aggregate Sedan connecting;Rover mobile
8;coleslaw Director;ROI;indigo radian;payment;bifurcated connect;blue;architecture generally;Innovative flimsy;extend Tennessee Tasty;Associate that;Shirt;payment interface West;Steel Cotton;deposit;Direct Northeast Emirates;Runolfsson networks;Treutel;2023-06-20;2023-06-20;cupiditate systems upward;Lead Blues;Marketing;female hertz;insert;Franc;Country;duh
9;Lead;Senior olive;IP plum;Concrete;convergence;Hybrid;Practical;Shoes;Vermont;watery M2F;East;Rutherfordium branch;Cargo District Concrete;female Silicon;Southeast;Chair;Rubidium;2023-06-20;2023-06-20;1080p systems Coupe;paradigms South;Card Jazz;Officer when Dodge;black;Lamborghini transform;ipsa Beauty;Market oh Touring
10;Ngultrum;Planner hack Account;AI Smart whoever;Northeast Tactics creative;lavender female Shoes;Electronic firm Account;Stage parsing unde;Pickup;Texas Van Dollar;ohm South;generating Zboncak;Steel;Northeast;Assurance;Southeast;Hermaphrodite;Awesome Configurable;2023-06-20;2023-06-20;Steel;Electronics Dynamic;Frozen;Account digital Hampshire;male;lime harum;disintermediate;Iran Quality invoice
