id;item_name;cate_gory;supplier;date;operation_site;attributed_lo_r_for_this_site;site_qualification_status;csr_result;quality_production_result;business_liability_result;comments
1;Northwest Buckinghamshire Rap;Southeast South card;Fresh;2023-06-20;so joule;Promethium;Diesel;female;encryption Fish Awesome;capacitor;Kansas Recycled Awesome
2;Celsius;South sensor Nebraska;Jersey;2023-06-20;man female that;North East deposit;continually virtual Ferrari;bluetooth Maserati;subsume bandwidth ampere;Nissan;enjoin parse Michigan
3;Account Sedan that;Grocery South male;disintermediate;2023-06-20;Southeast now Associate;content laboriosam Integration;Planner;Account;Manager orange yellow;ivory Cargo;Borders extend
4;Account who CFA;black invoice;target;2023-06-21;feud kilogram;M2F bandwidth;West Bronze;Radium Maryland yuck;Lesotho;bah Concrete Porsche;radicalise Bacon Rubber
5;exploit Sedan Tesla;Communications solid male;Engineer synergistic;2023-06-20;Account Northeast Berkshire;Chicken cohesive;mint plum;successfully sticky Intranet;Gold;Wooden;male orchestrate
6;restfully knottily till;Latin;SUV lazily;2023-06-20;F2M Kennewick;Pines systemic Maldives;index Electronic South;capacitor;compress Folk Configuration;Hatchback lux Convertible;that
7;national youthfully;install National Northeast;neural;2023-06-20;Automotive ref;Tasty;hacking;male;Wagon Communications Diesel;Kia;ivory slime versus
8;Metrics Samoa;budgetary East Credit;Volkswagen Account;2023-06-20;synergistic Van;Outdoors;Northeast;rich;Courts;indexing;microchip
9;Oriental apropos Licensed;transmit;24 24/7;2023-06-20;Demigender;interface expedite;Neither;Account mint Product;Xenon Direct variant;Tugrik;CSS transmit
10;services Incredible;farad;oh;2023-06-20;West hack projection;Outdoors grey Investment;wireless Pound Hyundai;gray Global;Oriental forecast animi;matrix;lime
