id;item_id;kingdee_id;item_name;group_name;parent_group_name;sub_group_name;description
1;whose online ivory;Checking;Southwest Northwest unless;Global SAS Folding;olive;Avon Table;infrastructures Bicycle Bismarck
2;Rubber orderly abnormally;Burg Practical Van;programming Chevrolet;Hat Folk;farad;Shores Syrian;Fresh careless Licensed
3;Agender EXE;application;Transexual South;Zora instead;hourly African weber;array program;Mini gold
4;Tasty;optical off;South;Diesel minus Recycled;Van Mercedes;schemas ivory;scrap female North
5;Antimony methodologies Fresh;sexy Research sheepishly;magenta;Mountain Home upend;Nissan;Bicycle Minivan;Ergonomic District Accounts
6;compelling Malawi system;Configuration Rubber;knowingly Tesla;Solutions;female;jiggle;female
7;iterate transgender monitor;Southwest Polonium;Ponce Oxygen;Director deposit;connect Borders HTTP;Avon;Shoes Convertible teal
8;Latin Consultant;cheerfully;Nissan;scrabble;Frozen indigo;Davis Volkswagen woot;Advanced Rufiyaa
9;Richland Hafnium Touring;siemens;proactive Gadolinium;Renminbi;hmph;Extended metrics;Dollar monitor
10;Ytterbium Steel;Games optical;transmitter cheek gold;Alfreda Diesel Analyst;Refined;Pop embrace;Account navigating
