id;item_name;kingdee_id;doc_number;supplier;supplier_email;material_return_date;reason_for_return;purchase_dept;remarks;doc_status;item_code;supplier_code
1;system;Lamborghini;revolutionary dignissimos;Jazz Cambridgeshire system;Renminbi Marketing Hawaii;Non Convertible but;Latin West;azure up;reintermediate Scranton;Topeka Diesel jittery;untimely cum maroon;Executive Mississippi BMX
2;West Central;sticky;Texas;Pants Ayana;Tactics Grand eek;to;Inlet;Gasoline teal key;hardware Sedan Wooden;Jazz Manager Infrastructure;Jewelery Japan challenge;optical Caleigh
3;withdrawal North programming;hm Bronze Tesla;orchid navigate;Home;fuchsia deposit Azusa;frame;West Diesel;Turnpike Cormier;panpipe Gasoline Buckinghamshire;red;Assistant Van auxiliary;pro
4;Concrete;withdrawal purple possimus;appendix Funk Folk;microchip Diverse;anchor that Architect;Senior;West Orchestrator;Tasty mobile;freely collaborative;Cambridgeshire;Direct granular East;intranet out
5;generate Beauty;Hybrid Assurance Hybrid;primary separately determination;Avon Sports between;Tools Checking Montenegro;Northeast bandwidth deliverables;Trans Fritsch dedicated;hack fuchsia intelligence;Hybrid;bah Pine virtual;Silicon;Audi
6;North aw;French olive Health;astonishing;plain;Electric Engineer;above Balanced unleash;Bronze Shirt;plum;Bicycle Metal Polygender;Frozen;Tools Licensed sober;Operative Future Alabama
7;Philippine muff;Isle;Bedfordshire SQL bluetooth;Gideon Research;Pants consequently;Division optical Dane;COM hack;Woman katal;content Supervisor;Wagon;past;hertz female
8;Minivan pixel lumen;Dollar protocol Cis;EXE Market;Functionality;Land overdraw lavender;SAS;North;this second;East gosh shout;gray indigo indexing;Pickup Investor technologies;parallelism vero
9;Chips;Gasoline matrix;Human whoa microchip;parse Lead;Principal male;bewilder;strategy female;reinvent;navigating;Chips deposit;DNS;Wagon
10;Convertible female services;disgust female Hybrid;Chevrolet radian;Southeast Moldovan;Funk Southeast deposit;blue;magenta Frozen;magenta Silver;Gorgeous;copying Hafnium;Fresh;Center collectivization reinvent
