id;item_id;uom;uom_group;description;sub_items;parent_item;board_id;kingdee_id
1;Account below male;past;Oxnard Chicken siemens;Hybrid Transmasculine;Pleasant;Riverside adapter;Northeast;input
2;man Southeast Hybrid;gold;Minivan;boo platforms female;alarm;navigate Cambridgeshire;DNS optical;JSON
3;flaunt;Burleson Fresh;Bicycle;Account Accounts;newton reboot prefer;gadzooks Place;core soon;Bahraini North Account
4;Exclusive Oklahoma North;City Cook;protection;Cobalt kelvin;Salad maroon;orange North;architectures;Boron Latin
5;Genderqueer tesla;sensor;array Southeast;North;Americium azure;male Adventure cookbook;South grow;Southwest energetically
6;turquoise SSD Northwest;female indeed;Directives;second;bruised;Bedfordshire;tranquillize Strategist siemens;Borders index lavender
7;software empower geez;to Frozen;Executive Pickup;Jaguar Southeast;meanwhile Gasoline;Stage Ramp connect;North modi modulo;wheat
8;eum Jazz;Assurance Southeast Borders;terribly;Angeles Ethiopian Tuna;Recycled;Honda aliquam;neural fairly;program
9;redefine bandwidth;nihil muffled;optical;granddaughter certainly;Classical below;North Producer;perennial female;Guyana Latin Jewelery
10;quantifying because male;Seamless;Northeast core;Metal;matrices Electronic green;Towels cyan Home;Electric Hybrid;IB Gorgeous Fresh
