id;po_number;supplier;order_date;cate_gory;inspection_date;request_end_of_prod_date;total_amount;total_discount;dis_count_rate;regular_check;etd;atd;eta;updated_eta;document_status;custom_instruction;custom_inspection;deposit_payment_date;balance_of_total_payment_date;amount_deposit_payment;amount_payment;dc_member;comment;item_name;kingdee_id;parent_kingdee_id;qty;item_code;contract_end_of_prod_date;supplier_id
1;Northeast Buckinghamshire Fish;quaerat;loyalty Elegant;hard Bicycle grey;Northeast;Rhode;disruption Country Dynamic;driver;Delano;purple personal Hop;niches;SMTP;female wherever;Branson bluetooth;bifurcated Brand female;Delaware;Rubber Towels;to edge;Creative Officer;microchip Dynamic Chips;Universal;Genderqueer Hybrid;throughput Cis protocol;Handcrafted Man Nissan;Direct International whose;Soft midst;payment;Regional voluptatem Electric;relationships Bronze Wooden;rigidly
2;Convertible platforms;Courts Handmade katal;Northeast Bigender North;Rial Trafficway;yippee;female East Jose;knowing;Sausages Forward efficient;Cadillac;Mountain katal ASCII;Nakfa Jordan;why;Steel Northwest;male Rubber;Concrete Balboa righteously;magnetic a;Account Oriental;Northeast Forest;Mexico;Ferrari turquoise;whoever Sleek Barium;outflank boo;COM Mountain;Gasoline Borders;cyan Markets;Gloves;Chair;Park line;Cucamonga Morocco;Cadillac Island unnecessarily
3;wildly;withdrawal;Swaziland Florida Operations;ah Country Lamborghini;Reunion;Bicycle deposit Tasty;World hierarchy;matrix;Stage Keyboard;ivory;SUV Bike;Usability;overriding indexing male;Hop edge Ferrari;compressing Program Director;vortals West system;Genderflux to El;Denar;haptic;Factors geez;Congolese male formal;Soft;instead;Designer;Licensed Ball;generate Hip back;Nissan Associate;Tesla recall Nickel;hardware ivory;Asheville ivory
4;gold tesla;spirituality Bicycle favor;Frozen baptize Specialist;Officer digital;Metrics;withdrawal;ivory brr card;mole;withdrawal anti copy;Handcrafted;invoice Soap;Centralized;Quality sed online;aw Industrial;hack;steradian;Orchestrator quantifying matrix;virtual THX to;organising;Personal;Vatu Chile;impedit East male;Mini circuit;Country Bespoke bolívar;Avon compressing;optical F2M;Metrics;Rustic;deliverables Tricycle;Digitized Keyboard candela
5;Californium;Tactics tertiary;Frozen Washington;Frozen Games Ball;Expanded;corporis female Account;quality now;motivating;Dakota;elicit Road;Porsche;Rustic;excepting HEX Account;Emirates VGA;Fish;connect infomediaries;Buckinghamshire gee;Unbranded Shirt API;plum;approach;unimpressively engine cyan;Hybrid West;Bedfordshire digital;white;Fantastic Flats;Cruiser Assistant Northwest;Gloves;North Thailand;Alabama Texas Cambridgeshire;Mayotte
6;white microchip;interfaces Frozen;Towels Ameliorated;epitomise;Crew implement forecast;online teal;back;Mountain;Caesium;tan;joule;haptic woman;Beauty World;sky Health generate;Platinum;Human SSL;Pickup towel VGA;Jazz Northeast Lead;Car Cedi;1080p silver Madera;azure Sausages firewall;Bedfordshire;Potomac hmph Electric;Interface large;that;Reggae bluetooth;Carbon;optio pish DNS;Designer Volvo zowie;hierarchy Computers Strategist
7;ipsa West Aletha;Oganesson Diesel copy;North submerge Buckinghamshire;Corporate Research Pop;bar;Buckinghamshire duplexer;East;Maserati;Intelligent Blues Classical;expedite yellowish Latin;occurrence;infomediaries Administrator copying;Factors;Kuna;Bugatti gold customized;yellow;Agender;ivory Towels;matrix Mobility Northwest;nonconforming;Southeast unhitch;magenta Manager Music;Hybrid logistical;South Dominican Transexual;mesh virtual;West lacerate;portals Chips;Program Pickup;Concrete Recycled Investment;North global
8;in synergistic;transmit henry North;Country splatter Gallium;Outdoors;input Future redundant;bluetooth synthesizing haptic;reintermediate;vero;Small override Bentley;Northwest specification City;Licensed card technologies;redundant gray;psst Volkswagen;Shoes Granite;Cheese Assistant;Man Polonium;midst Planner;Quetzal Optional leverage;Personal steradian bottle;integrate Avon digital;Kwacha Hybrid;Automotive;Branding transgender except;bus Branding;orchid;lest EXE;North blah;rich;who;apparel Won Home
9;synergies Kyat;Northeast;Compatible Berkshire Branding;semaphore state generation;connecting short;where Liaison;Infrastructure local;port Bicycle;Sleek North Northwest;Brand Electric;painfully Coordinator Convertible;Toys;Switzerland;Northwest back Visalia;Tricycle SSL neque;Northeast Grocery Manors;Bedfordshire;Swedish;IB RSS miserable;who;hm Buckinghamshire;Northwest South North;Lead Bay;awaken;calculate;Naira Martin North;database Bicycle engineer;underneath capacitor;deliverables Mouse Buckinghamshire;web canoe API
10;Common artificial;Panama;black consequently;Optimization Wooden;Diesel loving;microwave Pittsburg;Ethiopia Consultant;indexing Granite microchip;Cargo;Bentley Diesel;Mountain Metal;since;Porsche;that;rhyme SMTP;Northeast Jazz Metal;parse;female;Funk;Blues Cyclocross;right;infrastructures Health;digital Functionality Customer;bandwidth Buckinghamshire payment;vel Director gray;methodologies Salad;North Cab;compress;yuck architectures Tuna;woot
