id;board_id;column_id;title;type
1;South Southeast HEX;salmon;And Licensed female;synthesize Chips Frozen
2;Account;Facilitator revenge;Tuna Metal blue;rash ROI port
3;Bromine Pound;Louisiana;Architect Principal;structure
4;Electronic parse;Steel Fantastic;West matrix;Erie
5;into applications rotten;Vista;methodology apud near;Northeast core Oriental
6;among;white primary;Loan mindshare Pop;Meitnerium lavender program
7;Southeast Diesel;white through judge;Lead;Assurance Rover Bike
8;grey;Electric Northeast;consectetur Practical;South Nissan indigo
9;explicit Shilling;Northeast port;South;visualize Northwest
10;mealy;Montana transition quantify;orange;Southeast Bicycle Reactive
