id;item_status;item_france_name;kingdee_id;item_name;codeag;technical_documents;certification;opportunity_sheet;packing_type;sale_package_image;carton_length_milimeter;carton_height_milimeter;barcode;carton_weight_kg;carton_weight_gr;carton_width_milimeter;product_description_and_fonctionalities;drawing;user_manual;pallet_size;type_of_marketing;product_pic;label;comment;product_taxonomy;net_weight;gross_weight;unit_of_weight;carton_volume_milimeter
1;Uzbekistan;Ecuador Chair;in;notwithstanding Bicycle Handmade;collaborative iterate;molestias observation;wireless;Moscovium;Polygender;portals Awesome;North East;siemens joule;whoa matrix Compatible;World;generate;Hatchback;communities Van;Ferry;Focused;female calculating Northwest;firewall runny infomediaries;Factors Mandatory Future;invoice;innocently Electric absent;copy aperiam amid;turquoise;City Bronze Hybrid;idle Unbranded Leannon;Investment itaque transmit
2;withdrawal Direct;bypass month transmitting;although;Classical;when;East really Oganesson;Cadillac;index ipsum nonconforming;redundant Pop;throughput;Minivan;Sam;fuchsia Tanzanian Diesel;Spain Cisgender utilize;compressing;Fish illegal Overpass;Integration Road duh;Mississippi;back incubate;budgetary vaguely;Chips optical;strictly Pants Central;Realigned;Cook;Synchronised;Reggae ack Cisgender;composite white;sensor Outdoors Grove;invoice bandwidth
3;projection generating Liaison;innovative Music;Northeast;Buckinghamshire underneath;West;than;Digitized;index Expanded;Bronze Usability transgender;Diesel teal;Executive deploy Dirham;Oriental Gloves;exert Wooden kelvin;lux;Salad;hose Engineer Smart;Car SCSI Bicycle;Quality quantifying;sievert;Buckinghamshire Bicycle opposite;grey East West;Demigender Barton;when;Handmade ampere Southeast;knowledgeably purple lime;bypassing Bugatti;Account Investor;maroon maximize program;Avon markets
4;South;Longview;katal Movies;Reduced Volvo;haptic;Genderflux compressing Somoni;Loan;Avon California Principal;Direct;Books;Martin;Connecticut Northeast deep;Health index;West paradigms;finisher South Czech;sequi correctly;once;Bronze copy weber;kilogram Neodymium Orchestrator;Concrete Road;Van Toyota programming;Implementation Regional grey;Buckinghamshire;minus;pink Intersex;Minnesota Buckinghamshire;East;Cisgender on;non SQL
5;Thorium Savings;Refined;Ball brr Hybrid;Missouri Lira Computer;South Electronic;West terrorism;Cyclocross Granite Metrics;Graphic Diesel Seamless;Kuphal Hybrid;West Dothan Yen;disintermediate;Infrastructure calculate what;Concrete Technician Illinois;matrix;Table;JBOD kilogram Avon;virtual;unexpectedly decoy;Product equalize Principal;synergy;blockchains;Lempira;Grocery;unde Minivan Qatari;calculate Northeast calculating;male;red infrastructures 1080p;Pickup tangible;olive Avon
6;purple Field hack;Lead;curve Kuwaiti;in website;ampere;sky networks;decisive;plum;Ridges Senegal;Diesel District;engage;abaft iterate Bicycle;Maine;compress magenta Unbranded;Granite shy;Mouse global;if Rupee New;grow Bentley Computer;withdrawal Secured City;navigate rich;Account;West sculpture;radian pink;Future optimizing Honda;Small;quantifying cultivate Delaware;grey Rubber 24;SSD parse;Transmasculine invoice than
7;niches qua Borders;meaty;positively Course Car;Corporate Gasoline;payment;faithfully;Granite facilitate Chandler;about mesh;Practical Bromine SDR;Evansville studious;withdrawal Place Northeast;transmitting;yet by;woman Cotton;Venezuela Tasty Livermorium;female navigate;phew;synergies Administrator Electronics;ADP Keyboard monitor;Southeast Executive male;North Cruiser salmon;Mazda Martin North;black North Handmade;East 24/7 Northwest;productivity hardware;digital up;orange ivory World;violet Volvo;Classical
8;Tonawanda SQL;Managed;Cedi;Kyat envisioneer;toolset Wyoming;software East;Station synergies;Tasty um;gray Facilitator Cab;righteously East;cyan Pickup Folk;Electronic maiores West;Electronic;Focused;to;compressing Adventure;array joule;Bicycle utilize;innovate;indigo;SQL times;compress;quantifying whoa serialise;copy;Personal;Principal;TLS Lamborghini;Billings unless;Health Korea
9;index Response;Northeast Compton Representative;Baby Solomon benchmark;lumen Concrete;East train intently;brr;Implementation cyan Wells;Corporate;Rock Southwest;North;yet SSL;Account Bakersfield;Tuna drat;TLS Lilangeni West;Borders wig communities;Bike lionize;optical Wooden knowledge;Nauru secondary installation;Mandatory override Missouri;Electronic;Legacy but lime;optical transfer;Northeast Clothing;Classical SQL;degree schemas;acidly interestingly;Argon;klutzy Legros blue;mole
10;repellendus withdrawal Fresh;Folding Bentley;product Strategist;relationships AI benchmark;Calcium than deposit;illum access;incubate Wagon gloomy;grey;Kansas;plus navigate;Electric;Strategist half;Virginia;Wooden cry;Internal;inside red HEX;plus withdrawal Radium;Convertible;yellow;whether;ah Cambridgeshire;motion;Chevrolet deposit mobile;oof;Gasoline newton;Asheville direct;View Research;trust;card Bedfordshire bandwidth
