id;group_id;group_number;parent_id;group_name;description
1;54520;Bronze capacitor save;3588;Southwest zero Ruthenium;proactive
2;3424;oof North;88411;THX;Country
3;68100;connect;96154;Cargo West hmph;Granite
4;3361;Concrete Minivan;67654;Volvo in;Cape deposit
5;83507;drat;10072;Infrastructure Solutions;Maserati Erbium encryption
6;15366;Tellurium Agent;40615;North;transparent
7;10692;Transexual Computer intermediate;62360;San invoice;Buckinghamshire array invoice
8;76432;capacitor eyeballs;3278;robust;Account Southeast Turkmenistan
9;50351;North Lempira intangible;83269;connecting female quidem;bonk
10;5091;coulomb hard regional;10637;far;Analyst
