id;item_name;kingdee_id;date;client;cate_gory;total_price;currency;remarks;client_id;doc_status
1;premiere;always hack;to Awesome Hybrid;white;Strategist;almost;didactic withdrawal;lux generating alarm;gracefully Brunei;Northwest card Southwest
2;Soap TCP till;Balanced Hampshire;Solutions marten Selenium;Missouri planter;Luxurious;payment;hosepipe recontextualize Phosphorus;Steel steradian to;grey;Ford Mississippi
3;attractive Southwest Arizona;Intersex Viaduct group;Music azure;morph;Applications doorknob;Solutions Hybrid;JBOD;Movies Usability transmit;nesciunt violet Bicycle;Country
4;North JBOD furthermore;port firewall Pickup;Southeast Osmium Cyprus;Southwest;Zoey ADP Internal;South;Sports Concrete;painfully Frozen;applications unto;policy omnis
5;Practical;invoice;Hybrid instead Honolulu;up;engage;Account ADP Nobelium;backing firewall;Southwest provident;Investor Solutions;input Hills mindshare
6;Audi;eveniet;Lead;North Carolina Gloves;doloremque;Marketing;Cheese because;Human THX;mediate Island;Hackett
7;teal Steel definition;Outdoors digital;Marketing;Implementation reinvent invoice;Alabama;Cambridgeshire Bicycle Avon;Plastic Georgia Rustic;West female Electronics;Producer reboot;velit
8;Global calmly;Handcrafted;Tennessine Direct;bypassing submissive and;driver;Shoes Clothing;Metal;Agent spotted F2M;viral;Optimization
9;Investor East laboratory;Investment;unkempt JSON Towels;supersize;uniform Hybrid Sports;Corporate;Architect;Diesel Diesel;Electric Optimization West;Rubber Land
10;virtual;Concrete East;solid Ruble Global;Northeast;into;Rustic Town gain;Classical benchmark matrix;program;redundant;terrify
